1,001,010,011,100,101
2,110,111,110,000,111
3,101,011,110,111,111
4,101,011,110,000,111
5,110,011,101,101,111
6,100,111,110,000,000
7,101,011,110,111,111
8,110,011,110,101,111
9,111,111,110,011,111
10,110,101,110,000,111
11,101,111,110,000,101
12,110,011,110,111,111
13,101,111,110,101,000
14,101,011,110,000,111
15,101,011,110,000,111
16,101,011,110,011,111
17,110,111,101,000,111
18,110,011,110,000,111
19,101,011,110,111,000
20,101,111,101,011,111
21,101,111,110,000,111
22,101,010,110,000,111
23,111,101,110,000,111
24,101,111,110,011,111
25,101,010,110,000,000
26,101,011,110,111,111
27,110,011,110,000,111
28,101,010,110,011,000
29,110,011,110,000,111
30,111,111,110,000,000
31,101,011,110,011,111
32,101,011,110,000,111
33,101,111,110,011,111
34,110,111,110,000,111
35,101,011,110,000,111
36,110,010,110,111,000
37,101,011,110,011,111
38,101,011,110,000,111
39,110,111,110,111,000
40,101,011,110,000,111
41,111,011,110,000,111
42,101,011,110,011,000
43,101,111,110,011,111
44,111,011,110,000,111
45,101,011,110,111,111
